id;large;large_height;large_width;medium;medium_height;medium_width;small;small_height;small_width;jhi_raw;cropx;cropy;crop_height;crop_width
1;lest;15418;26962;err oddly;30279;14261;meanwhile key ack;14958;7617;wherever;8775;11238;14598.93;2956.41
2;needily yack although;27780;32436;without below;1712;7352;illiterate;9111;1396;fen er;16138;25980;10174.87;9524.84
3;gee consequently;28937;18637;inevitable a modulo;5404;31329;periodic;14040;6467;insist;15763;30130;11168.27;5369.43
4;yowza supposing;26415;22801;subset across;5857;7544;however overstep;23604;14244;vote;6022;19030;1326.07;16351.49
5;oh once;29961;19138;playfully;16679;17200;awkwardly;16399;11278;interestingly;8197;22220;17465.87;20509.4
6;illusion;22985;20641;blah listen;25115;24055;so concept insidious;22596;18779;gah bossy eek;7146;12604;30669.17;29896.74
7;circa;29676;21611;why elegantly;9704;12581;rudely gentle;11041;4419;without supposing uh-huh;11833;66;32475.2;2436.47
8;afflict big;1876;24627;though whereas uselessly;23676;9506;infantile;7425;30292;after;32511;8438;23250.34;18324.17
9;nosedive gently;12204;17423;frankly;30612;2784;if versus;32766;18834;provision;10166;7841;24995.32;2763.43
10;edible;25267;27948;chairperson er furthermore;27503;24865;bayonet;23152;28915;stark opposite;29176;28919;30387.06;24619.95
