id;tag;tag_display;jhi_group;group_display;color;tag_search_query
1;athwart however;dark badly;diligently forenenst blah;mushy;lime;phew nor
2;summary;internationalize as;anti acclaimed for;ah;teal;till pencil
3;proper;supposing yuck leap;furthermore;since though;purple;wood
4;um;afore questionnaire;yum upright;yet;black;gah near plus
5;than considering reduplicate;um;attractive;so;silver;skyline kiddingly
6;strait;via;clasp what;phew;black;geez uh-huh
7;down;amid;overrun synthesize quiver;yowza diverge which;indigo;troubled interview
8;pipe before;by;kookily;homely once steak;ivory;versus
9;below;including;after overstretch;diligently;magenta;hmph bah whether
10;coax;scholarly reconsideration;around bah heartfelt;novel mmm;sky blue;trigger
