id;total_spend_localper_cover;last_visit_date;total_cancellations;total_covers;avg_rating;total_spendper_cover;total_spend;total_no_shows;num_ratings;total_spend_per_visit;total_spend_local;total_spend_local_per_visit;total_visits;gross_total;total_order_count;total_order_cancellations;total_order_spend;gross_order_total;total_order_spend_local;last_order_date;total_spendper_order;total_spend_localper_order;venue_id;venue_marketing_optin;venue_marketing_optints
1;17162.35;however oof padlock;6978;14825;12254;15198.32;8671.93;12118;31066;8182.93;19922.53;13472.24;5599;3137.25;29455.26;7954.59;24414.38;16057.19;4764.5;gosh mispronounce;7317.11;20043.56;rejoin instead yahoo;false;emerge
2;25463.7;till beside ha;10653;10299;28849;25763.39;31208.45;11873;22603;23572.19;18450.01;1359.07;8840;27696.42;12328.94;22148.25;5756.98;28171.51;23783.82;out;16296.97;25726.68;phew scarcely put;true;through tingle
3;25559.4;mysteriously;3163;14705;20674;7788.9;26445.98;10273;11614;21695.1;16057.45;20015.37;20140;32042.8;31767.06;4976.8;20326.96;2967.83;24160.03;versus;3803.74;9133.15;without;true;loosely
4;31541.91;eavesdrop;24311;11276;22640;11877.93;4418.24;12562;22312;360.32;5894.89;4339.7;26002;6570.19;4755.31;5789.36;20932.88;11157.25;17859.84;foregather extremely;12967.43;12740.59;but blah;false;dapper fitting
5;22.25;dust fender;8153;6566;26984;2793;32028.26;26625;31419;13633.06;22897.12;664.46;1824;1236.92;10938.87;32335.2;171.26;25132.05;10372.44;hard cart;17499.13;19835.74;greedily;true;bugle crate ick
6;28112.7;psst;18268;28715;6229;1552.33;10746.72;17241;30623;30254.04;13071.41;20588.54;13820;5552.96;17719.89;19791.3;5707.88;18613.58;11431.14;hmph;31728.56;8030.17;indeed when astonishing;false;although inform
7;29599.24;wry aha actually;4110;11633;22725;8918.62;13395.73;17634;13885;29676.33;12461.97;18802.27;595;27172.61;1577.89;21971.47;19453.59;3979.8;12045.14;embellished which silently;4316.33;8425.66;smelt daintily among;true;circa for ionise
8;32476.49;eek tart vivaciously;24983;8174;29946;26325.94;30526.3;30725;30700;11889.69;23799.84;28085.58;23843;23611.64;14346.55;12968.46;25029.56;28479.68;23174.87;aw monasticism;18129.29;24061.72;ouch;false;for ha
9;29358.43;what considering uselessly;21092;13720;13948;30013.27;1494.32;1795;25021;20103.47;16742.87;16505.25;17174;18495.35;6749.64;9959.28;19885.94;1685.97;27219.15;patronise;3200.06;29471.92;string;true;frayed bite er
10;31770.25;curd mukluk;10383;3466;11060;5000.68;29619.63;32540;29354;15285.26;3964.98;1789.2;21866;15363.13;14459.19;172.23;17521.91;1724.35;7343.14;dominate how who;2629.32;5414.19;slot;true;across continually unloose
