id;status;admin_fee;code;table_no;tax;business_id;ticket_id;local_posticket_id;employee_name;total;subtotal;start_time;service_charge;endtime
1;jealous unabashedly;18273.37;137;ick;10989.64;20383;32396;kit outrage near;ha;8150.81;11675.4;boo oddly edit;3013.15;furthermore reliable
2;fooey why;24335.74;4149;professional;7594.56;22842;17186;ack inglenook;actually;19446.27;21915.47;gee;13910.12;vet utter bankroll
3;glossy;11475.79;26905;exotic;31495.03;7404;3803;illiteracy headquarters;muss ultimately;28233.71;26282.87;poorly;25922.77;useful struggle
4;unless;18038.99;3897;prestigious whether;18791.06;2914;26873;boo since flan;frightfully aha manicure;650.76;28214.56;or attentive um;31949.83;forget
5;before uh-huh;26201.76;28242;enchanted outlaw;8636.59;10911;10775;spy furthermore whenever;who;20139.93;27186.91;forfend ornate ferociously;18056.17;upbeat nor
6;quickly;22232.13;25771;concerning considering;7337.19;23218;27693;ah utilized questioningly;commercial well-made;10117.4;9252.7;alpenhorn aw ha;5066.13;damaged
7;whirlwind;154.58;19497;pace;23998.2;8600;22233;whether;indeed over;26334.17;7832.56;poleaxe duh;1501.22;er meatloaf bustle
8;invasion ornery;21067.36;12970;launch;24075.71;18664;26303;bail;that before acculturate;8317.82;14056.49;kiddingly major than;25708.79;devoted
9;initialize harmonize;27707.37;769;staid shrilly faraway;10666.84;25702;7692;gadzooks uh-huh limping;vice;20772.1;22251.57;in stretch;12575.32;once from
10;powerfully meanwhile vice;32253.2;30046;macrofauna;29760.98;30933;30301;minus aw;obviate safely;25504.29;16519.74;tense;18724.28;disgusting
