id;price;name;quantity;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;4605.06;damp;8648;even inside trivialise;2023-12-20T04:28:53;2023-12-19T10:41:13;er demand;delightfully
2;8771.18;whoa chair furthermore;14913;trained;2023-12-20T09:24:01;2023-12-20T04:23:33;charm;painfully nor overstay
3;28883.57;poised emote;7419;boastfully subsection;2023-12-19T19:41:59;2023-12-19T14:01:21;engine urgently;a opposite an
4;188.28;gosh boohoo whose;8057;shabby before which;2023-12-19T10:41:41;2023-12-20T06:26:20;ha powerfully;of
5;10223.55;fishing potential;17993;regularly;2023-12-20T04:30:27;2023-12-20T07:45:11;boohoo beautifully;who who
6;10639.16;drop;32010;fooey;2023-12-19T19:41:09;2023-12-20T04:54:16;gosh socialize;transaction midst for
7;1884.71;nor welcome terribly;32734;boo pro meditate;2023-12-19T18:54:10;2023-12-19T22:28:49;slim;as
8;16818.24;obediently who;2559;talking cc;2023-12-20T09:15:06;2023-12-20T05:31:38;skedaddle;overrate cake around
9;5203.85;salvage;8696;midst phooey;2023-12-20T05:44:12;2023-12-20T09:19:16;second discrete eek;gravel
10;30871.53;amid caramelise;7455;monstrous than;2023-12-20T06:52:29;2023-12-20T01:34:30;which candidate;whenever
